course,instructor,quarter,year,A,B,C,D,F,nLetterStudents,nPNPStudents,avgGPA,P,dept,S,su,Ap,Bp,Cp,Dp,Am,Bm,Cm,Dm,IP,coursetitle,units,prereqs,description,overallrating,studentcomments,reviewcount,wouldtakeagain,difficultylevel
CH ST   125A,RODRIGUEZ C H,Spring,2024,15,4,1,0,0,53,0,3.683018868,0,CH,0,0,15,6,0,0,9,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH ST   143,GUTIERREZ-MAG,Spring,2024,14,3,0,0,0,35,0,3.885714286,0,CH,0,0,16,1,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH ST   148,DIAZ-SANCHEZ,Spring,2024,13,1,0,0,4,38,0,3.439473684,0,CH,0,0,9,0,0,0,10,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH ST   178A,SANCHEZ D,Spring,2024,8,0,1,0,3,50,0,3.378,0,CH,0,0,19,4,1,1,11,0,0,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH ST   191SV,RODRIGUEZ VEG,Spring,2024,14,0,1,0,2,24,0,3.4625,0,CH,0,0,2,0,1,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH ST   197HC,RODRIGUEZ VEG,Spring,2024,3,0,0,0,0,5,0,4,0,CH,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      1A,JOSEPH C A,Spring,2024,32,30,64,36,23,252,0,2.166269841,0,CHEM,0,0,6,8,15,14,8,10,0,6,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      1AL,BERNT C M,Spring,2024,36,28,8,1,3,112,0,3.171428571,0,CHEM,0,0,2,12,6,1,8,6,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      1B,JOSEPH C A,Spring,2024,13,45,63,23,11,221,0,2.254298643,0,CHEM,0,0,0,10,13,12,6,22,0,3,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      1B,PRICE S P,Spring,2024,90,140,186,103,26,649,0,2.411248074,0,CHEM,0,0,13,21,36,0,14,20,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      1BL,SVADLENAK N D,Spring,2024,75,35,26,12,7,423,0,3.106382979,0,CHEM,0,0,16,59,27,0,76,90,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      1C,FELDWINN D L,Spring,2024,8,18,16,6,5,76,0,2.422368421,0,CHEM,0,0,0,2,10,3,5,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      1C,SYLVESTER B M,Spring,2024,137,134,105,32,28,611,0,2.83797054,0,CHEM,0,0,17,59,45,0,30,24,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      1CL,BERNT C M,Spring,2024,347,165,27,4,3,813,0,3.500369004,0,CHEM,0,0,19,97,18,2,113,16,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      3C,ABU-OMAR M,Spring,2024,32,27,2,0,0,97,0,3.317525773,0,CHEM,0,0,0,9,7,0,10,9,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      6AL,GAINER M J,Spring,2024,37,33,20,6,0,211,0,3.099526066,0,CHEM,0,0,5,32,12,1,39,18,8,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      6BL,GAINER M J,Spring,2024,23,38,8,2,1,166,0,3.127108434,0,CHEM,0,0,5,32,11,0,24,18,4,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      6CH,YANG Y,Spring,2024,5,0,0,0,0,5,0,4,0,CHEM,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM      6CL,GAINER M J,Spring,2024,1,1,0,0,0,8,0,3.55,0,CHEM,0,0,0,2,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    109A,ANYIKA M,Spring,2024,17,10,11,5,15,114,0,2.192982456,0,CHEM,0,0,4,3,3,10,5,10,19,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    109B,LEWIS R B,Spring,2024,7,40,88,41,17,342,0,2.172222222,0,CHEM,0,0,2,22,48,10,10,40,17,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    109C,ANYIKA M,Spring,2024,39,13,2,0,4,130,0,3.35,0,CHEM,0,0,5,10,5,1,36,12,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    109C,LEWIS R B,Spring,2024,50,50,24,20,10,318,0,2.949685535,0,CHEM,0,0,14,35,29,1,51,34,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    112C,BROWN F L,Spring,2024,7,6,7,2,0,36,0,2.772222222,0,CHEM,0,0,0,3,2,0,3,3,2,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    112L,WALKER F M,Spring,2024,3,9,3,0,0,31,0,2.948387097,0,CHEM,0,0,0,5,2,0,2,6,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    113C,BOWERS M T,Spring,2024,11,10,8,2,0,65,0,2.973846154,0,CHEM,0,0,3,9,7,0,8,2,5,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    113C,VLCEK V,Spring,2024,11,10,7,4,1,68,0,2.977941176,0,CHEM,0,0,4,6,2,0,15,3,3,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    116BL,LAVERMAN L E,Spring,2024,20,5,2,0,2,71,0,3.414084507,0,CHEM,0,0,10,9,1,0,16,4,0,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    124,PETTUS T R,Spring,2024,2,0,0,0,1,14,0,3.364285714,0,CHEM,0,0,2,3,0,0,5,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    126,KAHN K,Spring,2024,0,0,1,0,1,6,0,2.233333333,0,CHEM,0,0,0,0,1,0,2,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    127,LITTLE R D,Spring,2024,16,5,5,1,2,44,0,3.265909091,0,CHEM,0,0,4,5,0,0,5,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    130C,ZAKARIAN A S,Spring,2024,9,6,8,1,0,31,0,3.022580645,0,CHEM,0,0,2,1,1,0,2,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    142C,JAEGER L A,Spring,2024,7,3,6,1,1,42,0,2.733333333,0,CHEM,0,0,2,7,6,1,1,3,4,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    151,WAITE J H,Spring,2024,0,4,0,0,0,9,0,3.188888889,0,CHEM,0,0,0,2,0,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    153,NGUYEN T T,Spring,2024,3,2,0,0,1,12,0,3.25,0,CHEM,0,0,0,3,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    161,GREENE B L,Spring,2024,0,0,0,0,0,9,0,3.155555556,0,CHEM,0,0,1,2,1,0,3,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    176,FORD P C,Spring,2024,0,1,0,0,0,7,0,3.471428571,0,CHEM,0,0,1,3,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    181,HAI Y,Spring,2024,0,1,1,0,0,7,0,2.928571429,0,CHEM,0,0,0,4,1,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    196,SEPUNARU L,Spring,2024,4,2,0,0,0,10,0,3.68,0,CHEM,0,0,0,0,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM CS  11C,LAVERMAN L E,Spring,2024,0,0,0,0,0,0,17,0,17,CHEM,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN      3,CHEN S C,Spring,2024,16,0,0,0,0,31,0,3.719354839,0,CHIN,0,0,0,3,0,0,10,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN      3,YUAN J,Spring,2024,3,3,0,0,0,9,0,3.444444444,0,CHIN,0,0,1,0,1,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN      3NH,SHIEH M,Spring,2024,4,0,0,0,0,10,0,3.73,0,CHIN,0,0,1,3,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN      6,YUAN J,Spring,2024,4,1,0,0,0,11,0,3.545454545,0,CHIN,0,0,2,1,1,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN     82,XU H,Spring,2024,16,4,0,0,0,39,0,3.784615385,0,CHIN,0,0,7,2,0,0,10,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN    122C,GUAN D,Spring,2024,11,1,0,0,0,22,0,3.868181818,0,CHIN,0,0,5,1,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN    125,GUAN D,Spring,2024,12,5,0,0,1,37,0,3.556756757,0,CHIN,0,0,1,5,0,0,13,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN    134K,STURMAN P C,Spring,2024,7,2,0,0,0,15,0,3.666666667,0,CHIN,0,0,2,2,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN    138A,CHIANG H H,Spring,2024,6,2,1,0,2,25,0,3.008,0,CHIN,0,0,0,2,2,0,7,2,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN    140,MAZANEC T J,Spring,2024,8,4,1,0,2,35,0,3.234285714,0,CHIN,0,0,0,7,0,0,9,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN    152,CHIANG H H,Spring,2024,4,2,1,0,2,15,0,3.026666667,0,CHIN,0,0,0,2,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHIN    176,XU H,Spring,2024,26,5,1,1,0,62,0,3.577419355,0,CHIN,0,0,7,11,3,0,7,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CLASS    20B,MACLEAN R B,Spring,2024,13,22,40,0,0,144,0,3.030555556,0,CLASS,0,0,9,49,0,0,11,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CLASS    40,MOODY T W,Spring,2024,257,51,9,0,10,659,0,3.668588771,0,CLASS,0,0,150,52,5,0,104,16,4,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CLASS   109,CAPETTINI E,Spring,2024,15,12,2,0,4,73,0,3.206849315,0,CLASS,0,0,5,9,2,0,15,9,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CLASS   155,GALLUCCI R,Spring,2024,22,0,0,0,1,59,0,3.883050847,0,CLASS,0,0,29,2,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CLASS   171,GALLUCCI R,Spring,2024,53,2,0,0,4,134,0,3.788059701,0,CLASS,0,0,51,8,0,0,16,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CLASS   185,LINDHEIM S H,Spring,2024,3,0,1,0,0,11,0,3.636363636,0,CLASS,0,0,3,2,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC     5A,SOLIS S W,Spring,2024,24,6,9,5,11,80,0,2.62875,0,CMPSC,0,0,2,5,1,1,6,6,4,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC     5A,TANNA A A,Spring,2024,15,3,2,0,6,50,0,3.034,0,CMPSC,0,0,11,0,1,0,6,3,0,3,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC     5B,SOLIS S W,Spring,2024,8,4,2,2,3,32,0,2.875,0,CMPSC,0,0,3,4,1,0,2,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC     9,KHARITONOVA Y,Spring,2024,21,14,6,7,11,129,0,2.733333333,0,CMPSC,0,0,4,17,8,4,20,9,8,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC     9,SOLIS S W,Spring,2024,5,13,8,3,14,92,0,2.351086957,0,CMPSC,0,0,0,12,10,3,13,5,6,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC    16,MAJEDI M,Spring,2024,36,11,5,2,7,105,0,2.900952381,0,CMPSC,0,0,0,10,8,5,9,6,4,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC    24,BURK K T,Spring,2024,84,17,5,2,4,130,0,3.571538462,0,CMPSC,0,0,9,0,0,0,7,0,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC    32,MATNI Z A,Spring,2024,29,33,12,5,0,154,0,3.148701299,0,CMPSC,0,0,2,25,8,0,25,14,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC    40,MAJEDI M,Spring,2024,22,6,0,1,1,54,0,3.37962963,0,CMPSC,0,0,1,5,3,1,11,1,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC    64,SHERWOOD T P,Spring,2024,76,11,1,0,0,107,0,3.737383178,0,CMPSC,0,0,0,5,1,0,8,4,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   111,MATNI Z A,Spring,2024,12,7,4,0,2,44,0,3.195454545,0,CMPSC,0,0,3,6,3,0,6,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   130A,SINGH A K,Spring,2024,35,8,11,2,2,115,0,3.14173913,0,CMPSC,0,0,4,14,3,0,13,17,6,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   130B,SURI S,Spring,2024,32,15,1,1,0,74,0,3.543243243,0,CMPSC,0,0,3,3,0,0,13,6,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   138,BOYLAND P,Spring,2024,33,9,5,2,0,153,0,3.533986928,0,CMPSC,0,0,67,11,5,2,7,5,7,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   154,BALKIND J M,Spring,2024,52,9,0,0,0,98,0,3.642857143,0,CMPSC,0,0,1,17,1,0,13,3,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   156,CONRAD P T,Spring,2024,79,1,0,0,0,96,0,3.952083333,0,CMPSC,0,0,4,0,0,0,12,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   160,HARDEKOPF B C,Spring,2024,22,2,1,2,19,112,0,3.071428571,0,CMPSC,0,0,42,4,2,1,13,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   165A,YAN X,Spring,2024,36,2,0,0,0,96,0,3.713541667,0,CMPSC,0,0,15,16,3,0,23,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   165B,WANG Y F,Spring,2024,22,4,4,2,1,57,0,3.264912281,0,CMPSC,0,0,1,4,6,0,11,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   170,YANG T,Spring,2024,26,28,1,0,0,107,0,3.268224299,0,CMPSC,0,0,7,15,12,0,7,10,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   174B,SU J,Spring,2024,16,16,2,1,1,78,0,3.220512821,0,CMPSC,0,0,6,7,3,0,11,14,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   176C,GUPTA A,Spring,2024,17,0,0,0,0,35,0,3.842857143,0,CMPSC,0,0,9,2,0,0,6,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   177,KRUEGEL C I,Spring,2024,46,18,13,2,2,106,0,3.256603774,0,CMPSC,0,0,7,10,1,0,0,4,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   190D,CONRAD P T,Spring,2024,11,0,0,1,0,16,0,3.7125,0,CMPSC,0,0,2,0,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   190I,SRA M,Spring,2024,35,1,0,0,0,82,0,3.934146341,0,CMPSC,0,0,34,2,0,0,10,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   190J,FENG YU,Spring,2024,20,5,1,0,0,55,0,3.634545455,0,CMPSC,0,0,0,6,0,0,21,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   196,BALKIND J M,Spring,2024,12,0,0,0,0,12,0,4,0,CMPSC,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   196,BEYELER M,Spring,2024,8,0,0,0,0,10,0,4,0,CMPSC,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   196,CHANG SHIYU,Spring,2024,3,0,0,0,0,5,0,4,0,CMPSC,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   196,HOLLERER T,Spring,2024,5,0,0,0,0,5,0,4,0,CMPSC,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   196,SHERWOOD T P,Spring,2024,5,0,0,0,0,5,0,4,0,CMPSC,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSCW    8,KHARITONOVA Y,Spring,2024,58,14,2,4,10,132,0,3.192424242,0,CMPSCW,0,0,0,10,4,2,19,9,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   101,ZETZER H A,Spring,2024,203,5,0,0,1,235,0,3.897021277,0,CNCSP,0,0,0,5,1,0,17,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   197,JIMERSON S R,Spring,2024,37,1,0,0,0,80,0,3.84875,0,CNCSP,0,0,29,0,3,0,7,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM      1,TRUSCELLI N I,Spring,2024,48,45,0,0,7,288,0,3.277083333,0,COMM,0,0,0,55,5,2,88,32,5,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM     87,HAMILTON K A,Spring,2024,23,14,2,2,0,75,0,3.268,0,COMM,0,0,5,5,3,0,10,6,5,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM     88,GONZALES A L,Spring,2024,32,53,17,5,8,257,0,2.976264591,0,COMM,0,0,1,57,9,6,35,31,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM     89,AFIFI W A,Spring,2024,16,46,23,7,9,247,0,2.654251012,0,COMM,0,0,4,28,24,10,25,39,15,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    101,POTTER W J,Spring,2024,9,13,11,3,4,54,0,2.562962963,0,COMM,0,0,2,3,1,1,1,4,1,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    102,SALEEM M,Spring,2024,58,3,0,0,0,87,0,3.742528736,0,COMM,0,0,0,7,1,1,13,3,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    108,STOHL C,Spring,2024,33,5,0,0,0,89,0,3.670786517,0,COMM,0,0,2,14,0,0,31,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    111,DUNBAR N E,Spring,2024,15,6,8,0,1,88,0,3.186363636,0,COMM,0,0,12,16,5,1,13,8,1,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    114,SALEEM M,Spring,2024,52,3,5,0,0,82,0,3.656097561,0,COMM,0,0,0,8,1,0,10,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    121,MEROLLA A J,Spring,2024,24,21,6,1,1,90,0,3.198888889,0,COMM,0,0,0,8,2,0,15,9,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    122,GIBBS J L,Spring,2024,27,14,1,0,1,83,0,3.46746988,0,COMM,0,0,0,18,0,0,17,5,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    130,PANDEY K,Spring,2024,18,5,0,0,0,58,0,3.751724138,0,COMM,0,0,11,3,0,0,20,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    137,STOHL M S,Spring,2024,15,9,0,0,0,61,0,3.550819672,0,COMM,0,0,3,17,1,0,16,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    144,SALEHUDDIN A,Spring,2024,8,2,1,0,1,45,0,3.688888889,0,COMM,0,0,25,2,2,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    152,MYERS K K,Spring,2024,22,11,6,0,0,92,0,3.233695652,0,COMM,0,0,0,12,5,2,22,10,1,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    153,STOHL M S,Spring,2024,2,16,0,0,1,55,0,3.24,0,COMM,0,0,0,19,1,0,14,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    160DM,HAMILTON K A,Spring,2024,11,21,8,1,0,96,0,2.986458333,0,COMM,0,0,0,15,6,1,12,18,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    160OD,HOUSTON R,Spring,2024,17,2,1,0,0,77,0,3.637662338,0,COMM,0,0,0,12,0,0,43,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    168,HOUSTON R,Spring,2024,33,1,0,0,1,61,0,3.629508197,0,COMM,0,0,0,6,1,0,14,4,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    175SX,LINZ D G,Spring,2024,54,5,1,2,1,67,0,3.746268657,0,COMM,0,0,4,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    176,LINZ D G,Spring,2024,67,16,12,2,1,100,0,3.464,0,COMM,0,0,0,0,0,0,0,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    179,ABRA G J,Spring,2024,9,26,3,1,2,84,0,3.18452381,0,COMM,0,0,4,15,1,1,18,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    181B,ABRA G J,Spring,2024,1,0,0,0,0,7,0,3.671428571,0,COMM,0,0,3,1,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    184,GONZALES A L,Spring,2024,31,33,5,1,2,159,0,3.272327044,0,COMM,0,0,12,29,8,1,23,14,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    186,GONZALES A L,Spring,2024,11,20,4,0,1,89,0,3.250561798,0,COMM,0,0,12,10,6,0,16,8,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    187,PANDEY K,Spring,2024,48,8,2,0,0,84,0,3.779761905,0,COMM,0,0,9,0,1,0,16,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM W  107,DUNBAR N E,Spring,2024,64,8,1,0,2,157,0,3.755414013,0,COMM,0,0,48,12,1,0,18,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE    36,BENNAHUM D,Spring,2024,44,3,4,1,4,139,0,3.600719424,0,DANCE,0,0,50,6,2,1,17,6,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE    45,FRIEDMAN J A,Spring,2024,233,26,13,2,7,506,0,3.653557312,0,DANCE,0,0,74,31,4,0,96,15,4,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE    47C,MOSELEY D,Spring,2024,16,2,1,0,0,22,0,3.731818182,0,DANCE,0,0,0,0,0,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE    47F,HUSTON V G,Spring,2024,9,0,0,0,0,20,0,3.815,0,DANCE,0,0,0,1,0,0,10,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE    53,LYONS M M,Spring,2024,2,0,1,0,0,13,0,3.692307692,0,DANCE,0,0,8,0,1,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE    56C,SANCHEZ C A,Spring,2024,7,0,0,0,0,22,0,3.968181818,0,DANCE,0,0,14,1,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE    82BX,HUSTON V G,Spring,2024,1,0,0,0,0,9,0,3.6,0,DANCE,0,0,0,3,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE    82JZ,HAYNES R M,Spring,2024,6,0,0,0,0,13,0,3.638461538,0,DANCE,0,0,2,2,0,1,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE    82MX,SANCHEZ C A,Spring,2024,8,0,0,0,0,13,0,3.876923077,0,DANCE,0,0,3,0,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE    82TP,OCAMPO C,Spring,2024,8,0,0,0,0,12,0,4,0,DANCE,0,0,4,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE   142M,WHITED B S,Spring,2024,11,0,0,0,0,15,0,3.8,0,DANCE,0,0,0,1,1,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE   147C,MEUNIER M M,Spring,2024,15,1,0,0,0,19,0,3.9,0,DANCE,0,0,0,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
